,Account,Header,Description,Task Length,Delay,Start,Launched,Status,Civil,Mech,Elect,Dependency 1,Fraction 1,Building,Parallelism,Hours
94,A.218B.144,Admin building,Roofing,54.40037107,17.27753025,14.0,False,0.0,1.0,0.0,0,A.218B.141,0.9,A.218B.,1.0,13491.11323
95,A.218B.145,Admin building,Roofing,42.04907023,22.9710916,14.0,False,0.0,1.0,0.0,0,A.218B.141,0.9,A.218B.,1.0,5904.668549
96,A.218B.146,Admin building,Interior walls,7.49026437,20.21915694,14.0,False,0.0,1.0,0.0,0,A.218B.141,0.9,A.218B.,1.0,39100.85572
97,A.218B.147,Admin building,Doors/windows,5.194526845,26.72073969,28.0,False,0.0,1.0,0.0,0,A.218B.146,0.9,A.218B.,1.0,6387.937552
98,A.218B.148,Admin building,Finishing,16.49373986,20.14032858,14.0,False,0.0,1.0,0.0,0,A.218B.141,0.9,A.218B.,1.0,10350.74338
99,A.218B.149,Admin building,Painting,6.863336258,19.32337257,14.0,False,0.0,1.0,0.0,0,A.218B.141,0.9,A.218B.,1.0,6997.735167
100,A.218B.21,Admin building,Plumbing & Drains,36.20961226,22.67988889,14.0,False,0.0,0.0,1.0,0,A.218B.141,1.0,A.218B.,1.0,21966.77288
101,A.218B.22,Admin building,HVAC,36.75920495,24.57945977,14.0,False,0.0,0.0,1.0,0,A.218B.141,1.0,A.218B.,1.0,56616.28174
102,A.218B.23,Admin building,Safety HVAC,44.24638794,14.33475729,14.0,False,0.0,0.0,1.0,0,A.218B.141,1.0,A.218B.,1.0,421.7620392
103,A.218B.24,Admin building,Lighting & Service power,2.162321819,11.09861472,14.0,False,0.0,0.0,0.0,1,A.218B.141,1.0,A.218B.,1.0,17573.4183
104,A.218B.25,Admin building,Elevator,43.9883365,19.58924302,14.0,False,0.0,0.0,1.0,0,A.218B.141,1.0,A.218B.,1.0,878.670915
105,A.218D.,Fire pump house,Fire pump house,37.75811914,10.95316886,10.0,False,0.0,1.0,0.0,0,A.211.,0.9,A.218D,1.0,15421.0
106,A.218E.13,Emergency feedwater pump building,Substructure,9.52844574,3.499168094,10.0,False,0.0,1.0,0.0,0,A.211.,0.9,A.218E.,1.0,13617.34392
107,A.218E.141,Emergency feedwater pump building,Superstructure concrete,13.17561993,3.587742807,14.0,False,0.0,1.0,0.0,0,A.218E.13,0.9,A.218E.,1.0,102722.2092
108,A.218E.142,Emergency feedwater pump building,Structural & Misc steel,22.92758545,25.27499244,20.0,False,0.0,1.0,0.0,0,A.218E.141,0.5,A.218E.,1.0,3728.285081
109,A.218E.143,Emergency feedwater pump building,Exterior walls,25.62041159,13.25263275,24.0,False,0.0,1.0,0.0,0,A.218E.141,0.9,A.218E.,1.0,492.0745817
110,A.218E.145,Emergency feedwater pump building,Roofing,6.753480636,11.82897862,24.0,False,0.0,1.0,0.0,0,A.218E.141,0.9,A.218E.,1.0,344.4522072
111,A.218E.147,Emergency feedwater pump building,Doors/windows,9.765816517,12.67606476,28.0,False,0.0,1.0,0.0,0,A.218B.146,0.9,A.218E.,1.0,259.1592796
112,A.218E.149,Emergency feedwater pump building,Painting,21.31530794,34.55384154,24.0,False,0.0,1.0,0.0,0,A.218E.141,0.9,A.218E.,1.0,1018.594384
113,A.218E.21,Emergency feedwater pump building,Plumbing & Drains,23.78516453,32.53082552,25.0,False,0.0,0.0,1.0,0,A.218E.141,1.0,A.218E.,1.0,6019.712383
114,A.218E.23,Emergency feedwater pump building,Safety HVAC,15.74110315,32.09550165,25.0,False,0.0,0.0,1.0,0,A.218E.141,1.0,A.218E.,1.0,1958.456835
115,A.218E.24,Emergency feedwater pump building,Lighting & Service power,1.438100406,32.21168397,25.0,False,0.0,0.0,0.0,1,A.218E.141,1.0,A.218E.,1.0,3280.497211
116,A.218F.,Radiological access tunnel,Radiological access tunnel,54.40955164,32.45454011,10.0,False,0.0,1.0,0.0,0,A.211.,0.9,A.218F.,1.0,46018.30259
117,A.218G.,Electrical tunnel,Electrical tunnel,1.781175491,16.12763974,10.0,False,0.0,1.0,0.0,0,A.211.,0.9,A.218G.,1.0,2489.771204
118,A.218H.,Non-essential switchgear building,Non-essential switchgear building,32.97680401,22.78331577,10.0,False,0.0,1.0,0.0,0,A.211.,0.9,A.218H.,1.0,20975.31665
119,A.218J.13,Main steam and feedwater pipe,Substructure,5.442747791,9.430631201,20.0,False,0.0,1.0,0.0,0,A.212.141,0.9,A.218J.,1.0,47822.27933
120,A.218J.141,Main steam and feedwater pipe,Superstructure concrete,17.38010554,0.311578119,25.0,False,0.0,1.0,0.0,0,A.218J.13,0.9,A.218J.,1.0,310543.6679
121,A.218J.142,Main steam and feedwater pipe,Structural & Misc steel,7.588303525,21.34415873,30.0,False,0.0,1.0,0.0,0,A.218J.141,0.5,A.218J.,1.0,13771.92161
122,A.218J.145,Main steam and feedwater pipe,Roofing,17.11401533,14.04707924,34.0,False,0.0,1.0,0.0,0,A.218J.141,0.9,A.218J.,1.0,843.2139933
123,A.218J.146,Main steam and feedwater pipe,Interior walls,24.44310409,1.027977788,34.0,False,0.0,1.0,0.0,0,A.218J.141,0.9,A.218J.,1.0,361.3774257
124,A.218J.147,Main steam and feedwater pipe,Doors/windows,4.02430347,7.236730842,45.0,False,0.0,1.0,0.0,0,A.218J.146,0.9,A.218J.,1.0,204.7805413
125,A.218J.149,Main steam and feedwater pipe,Painting,17.63010225,20.2674946,34.0,False,0.0,1.0,0.0,0,A.218J.141,0.9,A.218J.,1.0,2574.383947
126,A.218J.21,Main steam and feedwater pipe,Plumbing & Drains,33.06689455,10.90187742,34.0,False,0.0,0.0,1.0,0,A.218J.141,1.0,A.218J.,1.0,27533.51815
127,A.218J.22,Main steam and feedwater pipe,HVAC,13.8526667,26.39249623,34.0,False,0.0,0.0,1.0,0,A.218J.141,1.0,A.218J.,1.0,9769.236408
128,A.218J.24,Main steam and feedwater pipe,Lighting & Service power,31.08616195,4.89870425,34.0,False,0.0,0.0,0.0,1,A.218J.141,1.0,A.218J.,1.0,10325.06931
129,A.218K.,Pipe tunnels,Pipe tunnels,55.20500709,2.858856045,10.0,False,0.0,1.0,0.0,0,A.211.,0.9,A.218K.,1.0,15904.13993
130,A.218L.,Technical support center,Technical support center,38.66182731,19.36597046,10.0,False,0.0,1.0,0.0,0,A.211.,0.9,A.218L.,1.0,31016.0
131,A.218P.,Containment hatch missile shield,Containment hatch missile shield,8.560587084,23.23491664,20.0,False,0.0,1.0,0.0,0,A.212.141,0.9,A.218P.,1.0,10427.31378
132,A.218S.,Waste water treatment building,Waste water treatment building,50.53858301,2.999592983,10.0,False,0.0,1.0,0.0,0,A.211.,0.9,A.218S.,1.0,29387.0
133,A.218T.11,Ultimate heat sink structure,Excavation,2.263367925,4.607465438,20.0,False,0.0,1.0,0.0,0,A.212.141,0.9,A.218T.,1.0,20217.06149
134,A.218T.13,Ultimate heat sink structure,Substructure,5.408493634,0.374663458,22.0,False,0.0,1.0,0.0,0,A.218T.11,0.9,A.218T.,1.0,11815.94134
135,A.218T.141,Ultimate heat sink structure,Superstructure concrete,6.728473265,3.781474227,29.0,False,0.0,1.0,0.0,0,A.218T.13,0.9,A.218T.,1.0,185893.2481
136,A.218T.142,Ultimate heat sink structure,Structural & Misc steel,41.35870951,17.69128039,34.0,False,0.0,1.0,0.0,0,A.218T.141,0.5,A.218T.,1.0,10035.45703
137,A.218T.145,Ultimate heat sink structure,Roofing,28.606834,4.100852973,37.0,False,0.0,1.0,0.0,0,A.218T.141,0.9,A.218T.,1.0,814.0254839
138,A.218T.147,Ultimate heat sink structure,Doors/windows,8.434999066,1.077094357,39.0,False,0.0,1.0,0.0,0,A.218T.145,0.9,A.218T.,1.0,94.28866608
139,A.218T.149,Ultimate heat sink structure,Painting,49.94754685,3.516662402,37.0,False,0.0,1.0,0.0,0,A.218T.141,0.9,A.218T.,1.0,1807.199434
140,A.218T.21,Ultimate heat sink structure,Plumbing & Drains,17.14720736,12.13508318,37.0,False,0.0,0.0,1.0,0,A.218T.141,1.0,A.218T.,1.0,864.3127724
141,A.218T.22,Ultimate heat sink structure,HVAC,31.65339722,6.83786947,37.0,False,0.0,0.0,1.0,0,A.218T.141,1.0,A.218T.,1.0,3050.238348
142,A.218T.24,Ultimate heat sink structure,Lighting & Service power,10.87711871,6.697809247,37.0,False,0.0,0.0,0.0,1,A.218T.141,1.0,A.218T.,1.0,5500.172188
143,A.218V.,Control room air intake structure,Control room air intake structure,22.71673853,9.351931708,10.0,False,0.0,1.0,0.0,0,A.211.,0.9,A.218V.,1.0,3759.000001
144,A.221.1,Reactor equipment,RPV Structure + Support,7.294973959,7.37067663,16.0,False,0.0,1.0,0.0,0,A.212.141,0.5,A.212.,3.0,178703.5226
145,A.221.2,Reactor equipment,Control rods,49.12923462,4.616353748,27.0,False,0.0,0.0,1.0,0,A.221.1,1.0,A.212.,3.0,40538.30774
146,A.221.3,Reactor equipment,RPV Internals,23.00694521,3.567933503,27.0,False,0.0,0.0,1.0,0,A.221.1,1.0,A.212.,3.0,31192.50762
147,A.222.11,Main heat transport system,Primary coolant pump,25.66486538,0.42537351,29.0,False,0.0,0.0,1.0,0,A.221.3,1.0,A.212.,3.0,24410.21725
148,A.222.12,Main heat transport system,Primary system piping,19.54292248,27.27928153,29.0,False,0.0,0.0,1.0,0,A.221.3,1.0,A.212.,3.0,0.0
149,A.222.13,Main heat transport system,Steam generators,8.829004246,3.14935193,27.0,False,0.0,0.0,1.0,0,A.221.1,1.0,A.212.,3.0,0.0
150,A.222.14,Main heat transport system,Pressurizer,11.99045078,13.49313045,27.0,False,0.0,0.0,1.0,0,A.221.1,1.0,A.212.,3.0,0.0
151,A.223.1,Safeguards system,Residual heat removal,27.82769599,29.0448666,34.0,False,0.0,0.0,1.0,0,A.222.11,1.0,A.212.,3.0,56423.18493
152,A.223.3,Safeguards system,Safety injection system,43.01507358,17.29708093,34.0,False,0.0,0.0,1.0,0,A.222.11,1.0,A.212.,3.0,91700.55082
153,A.223.4,Safeguards system,Containment spray,40.06733885,1.751699178,60.0,False,0.0,0.0,1.0,0,A.212.15,1.0,A.212.,3.0,17508.69619
154,A.223.5,Safeguards system,Combustible gas control,29.25306434,7.632961065,60.0,False,0.0,0.0,1.0,0,A.212.15,1.0,A.212.,3.0,1690.988252
155,A.224.1,Radwaste processing,Liquid waste system,24.1696754,7.892944932,34.0,False,0.0,0.0,1.0,0,A.222.11,1.0,A.216.,3.0,66929.18643
156,A.224.2,Radwaste processing,Rad gas waste processing,33.18384422,14.98491249,34.0,False,0.0,0.0,1.0,0,A.222.11,1.0,A.216.,3.0,3471.044244
157,A.224.3,Radwaste processing,Solid waste system,23.37493084,4.650144029,34.0,False,0.0,0.0,1.0,0,A.222.11,1.0,A.216.,3.0,50561.65149
158,A.225.111,Fuel handling and storage,Fuel crane,38.50473518,6.973276006,25.0,False,0.0,0.0,1.0,0,A.215.142,0.5,A.215.,3.0,1607.776079
159,A.225.112,Fuel handling and storage,Monorails/hoists,25.71564983,32.0607215,25.0,False,0.0,0.0,1.0,0,A.215.142,0.9,A.215.,3.0,285.8345769
160,A.225.113,Fuel handling and storage,Fuel elevator,26.04490504,15.98613304,25.0,False,0.0,0.0,1.0,0,A.215.142,0.9,A.215.,3.0,1429.172885
161,A.225.114,Fuel handling and storage,Spent fuel cask crane,33.41967994,21.74581522,25.0,False,0.0,0.0,1.0,0,A.215.142,0.5,A.215.,3.0,3970.526227
162,A.225.12,Fuel handling and storage,Fuel handling tools,11.71157804,8.476276989,25.0,False,0.0,0.0,1.0,0,A.215.142,0.9,A.215.,3.0,406.7645902
163,A.225.13,Fuel handling and storage,Transfer system,12.44318496,12.26993445,25.0,False,0.0,0.0,1.0,0,A.215.142,0.9,A.215.,3.0,9895.373183
164,A.225.3,Fuel handling and storage,Service platforms,49.63911644,10.49947424,25.0,False,0.0,0.0,1.0,0,A.215.142,0.9,A.215.,3.0,1429.172885
165,A.225.4,Fuel handling and storage,"Fuel storage, cleaning, inspection",23.07055338,17.16084181,25.0,False,0.0,0.0,1.0,0,A.215.142,0.9,A.215.,3.0,43972.86317
166,A.226.1,Other reactor equipment,Inert gas system,24.3234945,1.863643076,27.0,False,0.0,0.0,1.0,0,A.212.142,0.9,A.215.,3.0,11903.99543
167,A.226.3,Other reactor equipment,Reactor makeup water system,23.67801723,9.19337095,27.0,False,0.0,0.0,1.0,0,A.212.142,0.9,A.212.,3.0,13891.2842
